Customer Review,text
Review 1,I travel alot and really enjoyed my stay here. The hotel was very clean and the staff very professional. It took me only 5 minutes to make it to downtown and the campus is beautiful. Will stay again soon.
Review 2,"Stayed one night for a seminar at the University. Clean, comfortable room (nice bed!) with plenty of space. Squeaky clean. Shower temp was a little on the cool side, even at full hot. Air handling unit was a bit loud; could not shut it off despite thermostat in room. But these were minor inconveniences for an otherwise pleasant stay. Nice staff. Free wi-fi. Limited restaurant options with walking distance; Eric's restaurant in the hotel was decent."
Review 3,"I stayed at the the BW Downtown on two separate business trips in Nov. 2011. The access to downtown is perfect--a 10 minute walk to the office, although the shuttle is availble free of charge. The rooms are a bit larger than average, and the beds and bedding were very comfortable. One thing that struck me is that the place is very quiet--the hallways and stairs were recarpeted recently with heavy underlay and you don't notice people walking up and down the halls. There is a pool and hottub that I did not take advantage of. The complimentary breakfast every morning is great--eggs, bacon, sausage, yoghurt, toast, juice, coffee, etc. In the evening there are complimentary snacks and beverages as well. The high speed internet worked fine; much better than at larger places I've stayed at.
There are many restaurants and pubs nearby and the Galleria is about a 20 min drive. River Oaks is quite close for shopping as well and the theatre district is very close. The Texas Art Supply is about 5 minutes away on Montrose, and on Westheimer about 10 min away there are a bunch of eclectic antique stores that are worth checking out on the weekend.
Access to the airport is very good-- about a 30 minute drive on I-45 with no tolls.
I will definately stay here again. The staff are very friendly and they really do make sure that your stay is comfortable."
Review 4,"This is my first year to go to with a group of Quilter from southeast Kansas to the International Quilt Festival. We have never stayed in a hotel that was so accommodating. We were glad to see that the shuttle was extended for the weekend to accommodate all of us. Especially me when I forgot my prescription medicine and they were more than happy to take me to the pharmacy! Thanks you Jo, Sonny, John and all the other staff for making my once a year trip the best!!! I hope to you see you next year."
Review 5,"I travel with several friends (we're from a small town) for a ""girl's weekend"" once a year to big-city Houston for the International Quilt Festival. We have stayed at the Best Western Downtown for the last 8 years and have always had a great stay! We've found the staff (Jo, Sonny, John & all the others) more than willing to help us out in any way they can. We especially appreciated the extended weekend shuttle this year!"
Review 6,"Estuve hospedado en este hotel en diciembre 2010 por espacio de una semana. Las instalaciones estan bien, asi como las habitaciones, amplias y limpias. 2 camas matrimoniales, un sofa cama, un sillon reclinador, cocina equipada. El servicio de limpieza es una vez por semana, pero se pueden cambiar las toallas en la recepcion. Tiene muy cerca un Walmart, Target, Best Buy, para comer un Golden Corral. Se puede ir caminando a cada uno de estos sitios. El internet inalmabrico cuesta 4.99$ por toda la estadia y es rapido y funciono genial. La zona es segura, no vi nada extraño. Queda a 10 minutos del downtown de houston, de las atracciones como el parque hermann, los museos tambien queda cerca como 15 minutos en auto. El desayuno es muy basico y pobre, pan, mermelada queso crema y cafe, algo de frutas como manzanas y naranja. Tiene una impresora inalambrica en la recepcion donde poder imprimir cualquier documento. En general, la estadia fue bien."
Review 7,"Attending a business conference at the University. Room was large with two comfortable beds and adequate pillows. As is common in many hotels, the chair and hassock were too stylish to be practical and comfortable, useless to try to sit, put for feet up and read. Would take a balancing act. Desk and work space were superior. Nice in room Lavazza coffee set up. Bathroom was superior. Spacious, clean. Shower was a water saver head, but worked pretty well.
I asked for late check-out and this was not a problem, also the screw came out of my reading glasses and when I asked at the front desk for some tape (yes, nerd-style) to wrap around the hinge, surprise, the desk clerk pulled out a tiny optical screw-driver. Be aware, parking is $15 a night for guests, but some room rates include this. Bar and restaurant food and drinks were good and service was very pleasant, but both a dinner and breakfast the wait staff seemed to disappear for 15 minutes right when I was ready to pay and leave. Might have been light on the staff. Hotel is a circuitous 6 miles from Hobby, but GPS worked well, signs are poor. Beware the security line at Hobby can be 40 minutes during mid-afternoon."
Review 8,"This is the second time I have used this hotel and booked this last time because of the perceived value.
Room is updated and staff is great ...but woke this morning to bedbugs. I travel alot for work and this is the first time I have seen these in person.
 Staff went right after the room but... They are present :( so beware upon checking into the room."
Review 9,"Hotel was perfect. Recent remodel last year, rooms great, very, very clean bathrooms, glass showers, big vanities. University was closed, so ate in the ground floor restaurant. The french fries alone are worth a trip back. $15 cab ride from Hobby Airport.
Had a single room for my niece who was starting school, suite for my wife and me. Stay here....you'll like it."
Review 10,"We only stayed one night while visiting the University of Houston, but it was very enjoyable. As part of their program, there are many students involved in running the hotel. They were very courteous and helpful. It is a very nice hotel and well worth staying at if you are visiting the campus or just in the area."
