time_series,local_time,mach,Time,Cluster,,,,,
0,9.30001,0,9:18:00 AM,Take-Off,,,,,
1,9.30004,0,9:18:00 AM,Take-Off,,,,,
2,9.30006,0,9:18:00 AM,Take-Off,,,,,
3,9.30009,0,9:18:00 AM,Take-Off,,,,,
4,9.30013,0,9:18:00 AM,Take-Off,,,,,
5,9.30015,0,9:18:01 AM,Take-Off,,,,,
6,9.30019,0,9:18:01 AM,Take-Off,,,,,
7,9.30021,0,9:18:01 AM,Take-Off,,,,,
8,9.30024,0,9:18:01 AM,Take-Off,,,,,
9,9.30026,0,9:18:01 AM,Take-Off,,,,,
10,9.30029,0,9:18:01 AM,Take-Off,,,,,
11,9.30032,0,9:18:01 AM,Take-Off,,,,,
12,9.30035,0,9:18:01 AM,Take-Off,,,,,
13,9.30038,0,9:18:01 AM,Take-Off,,,,,
14,9.30041,0,9:18:01 AM,Take-Off,,,,,
15,9.30043,0,9:18:02 AM,Take-Off,,,,,
16,9.30046,0,9:18:02 AM,Take-Off,,,,,
17,9.30049,0,9:18:02 AM,Take-Off,,,,,
18,9.30053,0,9:18:02 AM,Take-Off,,,,,
19,9.30056,0,9:18:02 AM,Take-Off,,,,,
20,9.30058,0,9:18:02 AM,Take-Off,,,,,
21,9.3006,0,9:18:02 AM,Take-Off,,,,,
22,9.30062,0,9:18:02 AM,Take-Off,,,,,
23,9.30065,0,9:18:02 AM,Take-Off,,,,,
24,9.30068,0,9:18:02 AM,Take-Off,,,,,
25,9.30071,0,9:18:03 AM,Take-Off,,,,,
26,9.30073,0,9:18:03 AM,Take-Off,,,,,
27,9.30076,0,9:18:03 AM,Take-Off,,,,,
28,9.30079,0,9:18:03 AM,Take-Off,,,,,
29,9.30082,0,9:18:03 AM,Take-Off,,,,,
30,9.30085,0,9:18:03 AM,Take-Off,,,,,
31,9.30088,0,9:18:03 AM,Take-Off,,,,,
32,9.30091,0,9:18:03 AM,Take-Off,,,,,
33,9.30094,0,9:18:03 AM,Take-Off,,,,,
34,9.30097,0,9:18:03 AM,Take-Off,,,,,
35,9.30101,0,9:18:04 AM,Take-Off,,,,,
36,9.30103,0,9:18:04 AM,Take-Off,,,,,
37,9.30106,0,9:18:04 AM,Take-Off,,,,,
38,9.30109,0,9:18:04 AM,Take-Off,,,,,
39,9.30113,0,9:18:04 AM,Take-Off,,,,,
40,9.30116,0,9:18:04 AM,Take-Off,,,,,
41,9.30118,0,9:18:04 AM,Take-Off,,,,,
42,9.30121,0,9:18:04 AM,Take-Off,,,,,
43,9.30123,0,9:18:04 AM,Take-Off,,,,,
44,9.30126,0,9:18:05 AM,Take-Off,,,,,
45,9.30129,0,9:18:05 AM,Take-Off,,,,,
46,9.30132,0,9:18:05 AM,Take-Off,,,,,
47,9.30134,0,9:18:05 AM,Take-Off,,,,,
48,9.30137,0,9:18:05 AM,Take-Off,,,,,
49,9.30139,0,9:18:05 AM,Take-Off,,,,,
50,9.30142,0,9:18:05 AM,Take-Off,,,,,
51,9.30145,0,9:18:05 AM,Take-Off,,,,,
52,9.30148,0,9:18:05 AM,Take-Off,,,,,
53,9.30151,0,9:18:05 AM,Take-Off,,,,,
54,9.30154,0,9:18:06 AM,Take-Off,,,,,
55,9.30157,0,9:18:06 AM,Take-Off,,,,,
56,9.3016,0,9:18:06 AM,Take-Off,,,,,
57,9.30163,0,9:18:06 AM,Take-Off,,,,,
58,9.30165,0,9:18:06 AM,Take-Off,,,,,
59,9.30168,0,9:18:06 AM,Take-Off,,,,,
60,9.30171,0,9:18:06 AM,Take-Off,,,,,
61,9.30174,0,9:18:06 AM,Take-Off,,,,,
62,9.30176,0,9:18:06 AM,Take-Off,,,,,
63,9.30179,0,9:18:06 AM,Take-Off,,,,,
64,9.30182,0,9:18:07 AM,Take-Off,,,,,
65,9.30185,0,9:18:07 AM,Take-Off,,,,,
66,9.30188,0,9:18:07 AM,Take-Off,,,,,
67,9.30192,0,9:18:07 AM,Take-Off,,,,,
68,9.30195,0,9:18:07 AM,Take-Off,,,,,
69,9.30198,0,9:18:07 AM,Take-Off,,,,,
70,9.30201,0,9:18:07 AM,Take-Off,,,,,
71,9.30202,0,9:18:07 AM,Take-Off,,,,,
72,9.30205,0,9:18:07 AM,Take-Off,,,,,
73,9.30209,0,9:18:08 AM,Take-Off,,,,,
74,9.30212,0,9:18:08 AM,Take-Off,,,,,
75,9.30215,0,9:18:08 AM,Take-Off,,,,,
76,9.30218,0,9:18:08 AM,Take-Off,,,,,
77,9.30221,0,9:18:08 AM,Take-Off,,,,,
78,9.30223,0,9:18:08 AM,Take-Off,,,,,
79,9.30226,0,9:18:08 AM,Take-Off,,,,,
80,9.30228,0,9:18:08 AM,Take-Off,,,,,
81,9.30231,0,9:18:08 AM,Take-Off,,,,,
82,9.30234,0,9:18:08 AM,Take-Off,,,,,
83,9.30237,0,9:18:09 AM,Take-Off,,,,,
84,9.3024,0,9:18:09 AM,Take-Off,,,,,
85,9.30243,0,9:18:09 AM,Take-Off,,,,,
86,9.30245,0,9:18:09 AM,Take-Off,,,,,
87,9.30249,0,9:18:09 AM,Take-Off,,,,,
88,9.30251,0,9:18:09 AM,Take-Off,,,,,
89,9.30255,0,9:18:09 AM,Take-Off,,,,,
90,9.30258,0,9:18:09 AM,Take-Off,,,,,
91,9.30261,0,9:18:09 AM,Take-Off,,,,,
92,9.30264,0,9:18:10 AM,Take-Off,,,,,
93,9.30266,0,9:18:10 AM,Take-Off,,,,,
94,9.30269,0,9:18:10 AM,Take-Off,,,,,
95,9.30272,0,9:18:10 AM,Take-Off,,,,,
96,9.30275,0,9:18:10 AM,Take-Off,,,,,
97,9.30278,0,9:18:10 AM,Take-Off,,,,,
98,9.30281,0,9:18:10 AM,Take-Off,,,,,
99,9.30284,0,9:18:10 AM,Take-Off,,,,,
100,9.30287,0,9:18:10 AM,Take-Off,,,,,
101,9.3029,0,9:18:10 AM,Take-Off,,,,,
102,9.30293,0,9:18:11 AM,Take-Off,,,,,
103,9.30296,0,9:18:11 AM,Take-Off,,,,,
104,9.30299,0,9:18:11 AM,Take-Off,,,,,
105,9.30302,0,9:18:11 AM,Take-Off,,,,,
106,9.30305,0,9:18:11 AM,Take-Off,,,,,
107,9.30307,0,9:18:11 AM,Take-Off,,,,,
108,9.3031,0,9:18:11 AM,Take-Off,,,,,
109,9.30313,0,9:18:11 AM,Take-Off,,,,,
110,9.30315,0,9:18:11 AM,Take-Off,,,,,
111,9.30319,0,9:18:11 AM,Take-Off,,,,,
112,9.30322,0,9:18:12 AM,Take-Off,,,,,
113,9.30325,0,9:18:12 AM,Take-Off,,,,,
114,9.30327,0,9:18:12 AM,Take-Off,,,,,
115,9.3033,0,9:18:12 AM,Take-Off,,,,,
116,9.30333,0,9:18:12 AM,Take-Off,,,,,
117,9.30336,0,9:18:12 AM,Take-Off,,,,,
118,9.30338,0,9:18:12 AM,Take-Off,,,,,
119,9.30341,0,9:18:12 AM,Take-Off,,,,,
120,9.30344,0,9:18:12 AM,Take-Off,,,,,
121,9.30347,0,9:18:12 AM,Take-Off,,,,,
122,9.30349,0,9:18:13 AM,Take-Off,,,,,
123,9.30352,0,9:18:13 AM,Take-Off,,,,,
124,9.30355,0,9:18:13 AM,Take-Off,,,,,
125,9.30358,0,9:18:13 AM,Take-Off,,,,,
126,9.3036,0,9:18:13 AM,Take-Off,,,,,
127,9.30363,0,9:18:13 AM,Take-Off,,,,,
128,9.30366,0,9:18:13 AM,Take-Off,,,,,
129,9.30369,0,9:18:13 AM,Take-Off,,,,,
130,9.30372,0,9:18:13 AM,Take-Off,,,,,
131,9.30375,0,9:18:13 AM,Take-Off,,,,,
132,9.30378,0,9:18:14 AM,Take-Off,,,,,
133,9.30381,0,9:18:14 AM,Take-Off,,,,,
134,9.30383,0,9:18:14 AM,Take-Off,,,,,
135,9.30386,0,9:18:14 AM,Take-Off,,,,,
136,9.30389,0,9:18:14 AM,Take-Off,,,,,
137,9.30392,0,9:18:14 AM,Take-Off,,,,,
138,9.30395,0,9:18:14 AM,Take-Off,,,,,
139,9.30398,0,9:18:14 AM,Take-Off,,,,,
140,9.30402,0,9:18:14 AM,Take-Off,,,,,
141,9.30405,0,9:18:15 AM,Take-Off,,,,,
142,9.30408,0,9:18:15 AM,Take-Off,,,,,
